摘要, 网址
熵密杯2024届题目解析, https://mp.weixin.qq.com/s/0WkM0SLgXAv4-FbB9tkKJQ
熵密杯2023届题目解析, https://cn-sec.com/archives/2024046.html
PyCryptodome库安装, https://pycryptodome.readthedocs.io/en/latest/src/introduction.html
爱写博客的同学, https://jayxv.github.io
GMSSL的安装与编译, https://blog.csdn.net/m0_75100181/article/details/142864853
CTF比赛试题, https://ctf.bugku.com/challenges/index/gid/2.html
CTF入门指北, https://www.zhihu.com/tardis/bd/art/715982712
在线CTF, https://www.hackthebox.com
一些CTF队伍, https://ctftime.org
趣味密码题目, https://mysterytwister.org
下载openssl(完整版), https://slproweb.com/products/Win32OpenSSL.html
在vs中使用openssl教程, https://www.cnblogs.com/twd-log/p/18494500
